Manager,Week,Pos,,% Start,Pass Yds,Pass TD,Int,Att*,Rush Yds,Rush TD,Tgt*,Rec,Rec Yds,Rec TD,Ret Yds,Ret TD,2PT,Fum Lost
,,Pos,Kickers,Field Goals Made,,,,,Field Goals Missed,,,PAT,,,,,,
,,Pos,Kickers,0-19,20-29,30-39,40-49,50+,0-19,20-29,30-39,Made,,,,,,
,,Pos,Defense/Special Teams,,Tackles,,Turnovers,,TD,Miscellaneous,,,,,,,,
,,Pos,Defense/Special Teams,Pts vs.,Sack,Safe,Int,Fum Rec,TD,Blk Kick,4 Dwn Stops,Yds Allow*,3 And Outs,,,,,
,,Pos,Defensive Players,Return,,Tackles,,,,,Misc,,Turnovers,,,,TD,
,,Pos,Defensive Players,Yds,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,Ret Yds,TD,
Tyler,9,QB,Kirk Cousins Min - QB,57%,220,3,0,1,5,0,0,0,0,0,0,0,0,0
Tyler,9,QB,Josh Allen Buf - QB,54%,160,1,0,8,12,1,0,0,0,0,0,0,0,0
Tyler,9,WR,DJ Chark Jr. Jax - WR,85%,0,0,0,0,0,0,9,4,32,0,0,0,0,0
Tyler,9,WR,JuJu Smith-Schuster Pit - WR,91%,0,0,0,0,0,0,5,3,16,0,0,0,0,0
Tyler,9,WR,Davante Adams GB - WR,79%,0,0,0,0,0,0,11,7,41,0,0,0,0,0
Tyler,9,RB,Josh Jacobs Oak - RB,89%,0,0,0,28,120,2,2,0,0,0,0,0,0,0
Tyler,9,RB,Austin Ekeler LAC - RB,79%,0,0,0,12,70,0,4,4,23,0,0,0,0,0
Tyler,9,TE,Mark Andrews Bal - TE,63%,0,0,0,0,0,0,3,2,21,0,0,0,0,0
Tyler,9,W/R/T,David Montgomery Chi - RB,62%,0,0,0,14,40,2,4,3,36,0,0,0,0,0
Tyler,9,BN,Marvin Jones Jr. Det - WR,60%,0,0,0,0,0,0,10,8,126,1,0,0,0,0
Tyler,9,BN,Jamaal Williams GB - RB,44%,0,0,0,2,10,0,6,6,39,1,0,0,0,0
Tyler,9,BN,Alexander Mattison Min - RB,4%,0,0,0,3,6,0,1,0,0,0,0,0,0,0
Tyler,9,BN,Tony Pollard Dal - RB,1%,0,0,0,3,21,0,3,1,9,0,31,0,0,0
Tyler,9,BN,Kareem Hunt Cle - RB,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,9,K,Joey Slye Car - K,0,0,1,0,0,0,0,0,3
Tyler,9,DEF,New England NE - DEF,31,1,0,0,2,0,0,0,372,1
Tyler,9,BN,New York NYG - DEF,31,0,0,1,1,0,0,0,429,1
Tyler,9,D,Jordan Hicks Ari - LB,0,0,7,3,1,0,0,0,0,0,0,0,0,0,
Tyler,9,D,Danny Trevathan Chi - LB,0,0,3,3,1,0,0,0,0,0,0,0,0,0,
Tyler,9,D,Shaq Thompson Car - LB,0,0,10,1,3,1,0,0,0,0,0,0,0,0,
Tyler,9,DB,Jamal Adams NYJ - S,0,0,4,0,2,1,0,0,0,0,0,0,0,0,
Tyler,9,DB,Jabrill Peppers NYG - S,0,0,7,5,0,0,0,1,0,0,1,0,0,0,
Tyler,8,QB,Kirk Cousins Min - QB,67%,285,0,0,2,2,0,0,0,0,0,0,0,0,0
Tyler,8,QB,Josh Allen Buf - QB,51%,169,2,0,8,45,0,0,0,0,0,0,0,0,1
Tyler,8,WR,DJ Chark Jr. Jax - WR,76%,0,0,0,1,0,0,12,6,79,1,0,0,0,0
Tyler,8,WR,Marvin Jones Jr. Det - WR,66%,0,0,0,0,0,0,5,4,22,0,0,0,0,0
Tyler,8,WR,JuJu Smith-Schuster Pit - WR,88%,0,0,0,0,0,0,9,5,103,1,0,0,0,0
Tyler,8,RB,Josh Jacobs Oak - RB,79%,0,0,0,15,66,0,2,2,15,0,0,0,0,0
Tyler,8,RB,Austin Ekeler LAC - RB,77%,0,0,0,3,3,0,3,2,19,1,0,0,0,0
Tyler,8,TE,Eric Ebron Ind - TE,42%,0,0,0,0,0,0,4,3,26,0,0,0,0,0
Tyler,8,W/R/T,Ty Johnson Det - RB,60%,0,0,0,7,25,0,4,1,13,0,0,0,0,0
Tyler,8,BN,Davante Adams GB - WR,14%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,8,BN,Mark Andrews Bal - TE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,8,BN,Jamaal Williams GB - RB,26%,0,0,0,7,22,1,3,3,14,1,0,0,0,0
Tyler,8,BN,David Montgomery Chi - RB,38%,0,0,0,27,135,1,5,4,12,0,0,0,0,0
Tyler,8,BN,Cam Newton Car - QB,5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,8,BN,Kenyan Drake Ari - RB,7%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,8,K,Joey Slye Car - K,0,0,0,1,0,0,0,0,0
Tyler,8,DEF,New England NE - DEF,13,5,0,1,2,1,0,1,310,2
Tyler,8,D,Jordan Hicks Ari - LB,0,0,6,4,1,0,0,1,0,0,0,0,0,0,
Tyler,8,D,Danny Trevathan Chi - LB,0,0,2,4,0,0,0,0,0,0,0,0,0,0,
Tyler,8,D,Shaq Thompson Car - LB,0,0,2,2,0,0,0,0,0,0,0,0,0,0,
Tyler,8,DB,Jamal Adams NYJ - S,0,0,5,1,0,0,0,1,0,0,0,0,0,0,
Tyler,8,DB,Jabrill Peppers NYG - S,2,0,5,0,0,0,0,0,0,0,1,0,0,0,
Tyler,7,QB,Kirk Cousins Min - QB,27%,338,4,0,4,3,0,0,0,0,0,0,0,0,0
Tyler,7,QB,Josh Allen Buf - QB,50%,202,2,0,4,32,0,0,0,0,0,0,0,1,0
Tyler,7,WR,DJ Chark Jr. Jax - WR,79%,0,0,0,1,20,0,5,3,53,0,0,0,0,0
Tyler,7,WR,Auden Tate Cin - WR,24%,0,0,0,0,0,0,6,3,65,0,0,0,0,0
Tyler,7,WR,Marvin Jones Jr. Det - WR,27%,0,0,0,0,0,0,13,10,93,4,0,0,0,0
Tyler,7,RB,Kerryon Johnson Det - RB,84%,0,0,0,5,23,0,1,0,0,0,0,0,0,0
Tyler,7,RB,Josh Jacobs Oak - RB,85%,0,0,0,21,124,0,3,3,10,0,0,0,0,0
Tyler,7,TE,Mark Andrews Bal - TE,75%,0,0,0,0,0,0,8,2,39,0,0,0,0,0
Tyler,7,W/R/T,Jamaal Williams GB - RB,24%,0,0,0,3,5,0,5,4,26,1,0,0,0,0
Tyler,7,BN,Austin Ekeler LAC - RB,53%,0,0,0,5,7,0,8,7,118,1,0,0,0,0
Tyler,7,BN,Davante Adams GB - WR,15%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,7,BN,JuJu Smith-Schuster Pit - WR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,7,BN,David Montgomery Chi - RB,45%,0,0,0,2,6,0,2,2,13,0,0,0,0,1
Tyler,7,BN,Cam Newton Car - QB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,7,K,Mason Crosby GB - K,0,0,0,0,0,0,0,0,6
Tyler,7,BN,Joey Slye Car - K,0,0,0,0,0,0,0,0,0
Tyler,7,DEF,New England NE - DEF,0,1,1,4,2,0,0,1,154,4
Tyler,7,D,Jordan Hicks Ari - LB,0,0,4,3,0,0,0,1,0,1,0,0,14,0,
Tyler,7,D,Zach Cunningham Hou - LB,0,0,6,1,0,0,0,0,0,0,0,0,0,0,
Tyler,7,D,Danny Trevathan Chi - LB,0,0,7,3,0,0,0,0,0,0,0,0,0,0,
Tyler,7,DB,Jamal Adams NYJ - S,0,0,5,0,1,0,0,0,0,0,0,0,0,0,
Tyler,7,DB,Jabrill Peppers NYG - S,0,0,4,4,1,0,0,0,0,0,0,0,0,0,
Tyler,6,QB,Kyle Allen Car - QB,6%,227,2,0,3,3,0,0,0,0,0,0,0,0,0
Tyler,6,QB,Kirk Cousins Min - QB,20%,333,4,1,2,0,0,0,0,0,0,0,0,0,0
Tyler,6,WR,JuJu Smith-Schuster Pit - WR,79%,0,0,0,0,0,0,4,1,7,0,0,0,0,0
